id,fiducial,x,y,x2,y2,peak,flux,xWokMeasMetrology,yWokMeasMetrology,xWokMeasBOSS,yWokMeasBOSS,alphaMeas,betaMeas,xWokDitherFit,yWokDitherFit,sigmaWokDitherFit,configID,telAlt,telAz,telRot,FVC_SCL,FVC_TRAX,FVC_TRAY,FVC_ROT,FVC_ZB0,FVC_ZB1,FVC_ZB2,FVC_ZB3,FVC_ZB4,FVC_ZB5,FVC_ZB6,FVC_ZB9,FVC_ZB20,FVC_ZB27,FVC_ZB28,FVC_ZB29,FVC_ZB30,fvcImgNum,mjd
P965,False,1883.4090549181976,3290.880466363581,5.842156342949679,7.486036140335045,32419.25390625,370862.03125,84.86327815891167,103.67744788387108,85.40502470416054,104.18721107252377,18.428999922231753,143.7970917502983,85.39458181708021,104.18374278564706,0.0300834877288085,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P973,False,1410.253971343479,3123.596675046691,5.378606336656361,10.922059990333764,25586.841796875,318601.28125,94.18355414386275,163.79759287790208,93.82291857685456,163.1363348378256,240.4004417263308,119.36865231061411,93.82731335640185,163.100840318492,0.0336692737758201,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P975,False,2331.1085656111927,4500.333876672596,5.38211385483892,5.661399492470963,31728.994140625,290404.46875,188.31210709109263,-12.82525930526508,189.064582417202,-12.883075204231396,100.65135704325294,11.433142083895863,189.0818821823628,-12.885830080537875,0.0353986454845366,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P979,False,3196.4483172339174,1894.746242185183,6.072378004033865,6.126328870827109,35300.31640625,401373.28125,-138.43088749305085,43.57382546447664,-139.1104732394401,43.265958033379775,291.66679260051177,33.00271962055474,-139.11141016766064,43.24294056618001,0.0319378150599959,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P983,False,2714.1740920395164,1730.9510947857823,5.605991984835157,5.501316776315221,41577.828125,368301.96875,-128.45753945236797,104.26294993086478,-128.08742044119606,103.61399443478899,307.2645835645202,110.65289358841405,-128.1027086724725,103.58921483489986,0.0338482981333498,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P984,False,2793.582829265312,3278.010411218238,5.844030206634329,8.003062041786734,33282.65234375,375665.125,31.60779508142514,7.616305971840307,32.194480392831515,8.103464391732029,37.050717563070755,121.7399088611471,32.20340308189277,8.100182595655902,0.0310919330865741,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P989,False,2624.555203942771,4156.129998795865,5.367691466826969,5.66289194143053,26123.142578125,284368.40625,134.67989998001494,-24.406780734691345,134.7161301481241,-23.67055635830019,104.75781520002062,102.04774245979694,134.7306510369679,-23.66252669168418,0.0353711024968229,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P990,False,2855.758117899138,1878.1000146654465,6.112942784257939,5.6665918589219615,43034.953125,383247.25,-120.7935092522348,80.75908970891574,-121.46968420316473,81.06980274839381,127.36737908194934,146.45793436645874,-121.49165114013526,81.03198050629702,0.0323206707774011,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P995,False,2742.8252256322758,2194.4991964289216,6.322889636863906,5.769711768233989,42792.05859375,396183.0625,-80.63501942158162,74.68536574772808,-79.91574984705832,74.43346557242053,316.99566596522584,142.86695012572727,-79.92695065885873,74.42527143614947,0.031769448919448,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
P996,False,3505.022460418819,4069.6304081044236,6.306875262213126,6.192918056454573,32139.8828125,326973.125,75.32754827081445,-113.10854410908756,74.6076610319677,-112.8998977985897,183.08404429480504,102.41243056977059,74.60156622743064,-112.9161038073393,0.0350035762320834,13801,62.259169,189.899418,17.014461,0.12139183520858085,-158.833851510184,494.4715010418391,-118.17153546960215,2.789400728727852e-05,4.729420485027604e-05,-0.0010846948467697006,8.566544684490071e-07,4.309809379849864e-05,-2.58622488242954e-06,1.2531141565756204e-05,0.0017251784782344815,7.282410747693553e-05,-1.160488769263129e-07,-4.070487520814425e-06,-1.0881798437557898e-06,1.997774531927264e-06,15,60420
